Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Dach [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Wand.West [C]
0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6.30646	-273.15	-273.15	-273.15	-273.15	-273.15	-273.15	5	0	0	6.30646	-273.15	-273.15	-273.15	-273.15	-273.15	-273.15	20.0007	0	0	20	20.0004	20.0004	20.0007	20.0005	20.0007	20.0005
1	20	0.00173859	0	20	0.0237489	1.11E-05	19.9998	20	20	20	20	20	20	20.0007	-0.0013347	0.00393441	19.9998	20.0004	20.0004	20.0007	20.0005	20.0007	20.0005	8.37312	7913.15	-202.841	20.4045	5.06902	8.39563	5.06902	5.06902	5.06902	5.06902	8.13121	7920.65	-182.478	20.3282	5.1265	8.1105	5.12564	5.12486	5.12564	5.12486	20.0007	0	0	20	20.0004	20.0004	20.0007	20.0005	20.0007	20.0005
2	19.9997	0.105498	0	19.998	1.7109	-0.0108088	19.9953	19.9992	19.9995	19.9992	19.9992	19.9992	19.9992	19.999	1.62877	0.00291997	19.9954	20	20.0003	20.0004	20.0001	20.0004	20.0001	11.0308	5262.31	-605.798	24.1206	5.40155	15.913	5.40155	5.40155	5.40155	5.40155	10.4517	5348.61	-512.429	23.7773	5.67774	14.5577	5.67289	5.66965	5.67289	5.66965	19.9999	0	0	19.9983	20.0004	20.0004	20.0009	20.0006	20.0009	20.0006
3	20.0055	1.19785	0	19.9897	5.95189	-0.181304	19.9912	19.9922	19.996	19.9922	19.9922	19.9922	19.9922	19.9906	5.86109	-0.132559	19.9913	19.9933	19.9965	19.9938	19.9934	19.9938	19.9934	12.412	4111.6	-797.385	26.1376	5.7625	19.7628	5.7625	5.7625	5.7625	5.7625	11.6412	4308.43	-645.861	25.5571	6.23674	17.5612	6.22837	6.22303	6.22837	6.22303	19.9924	0	0	19.9879	19.9964	19.9965	19.997	19.9966	19.997	19.9966
4	19.9993	3.09415	0	19.9808	7.75734	-0.589611	19.9906	19.9796	19.9907	19.9796	19.9796	19.9796	19.9796	19.9815	7.75687	-0.458306	19.9905	19.9811	19.9902	19.9818	19.9813	19.9818	19.9813	13.2346	3437.05	-889.434	27.4239	6.07484	21.7471	6.07484	6.07484	6.07484	6.07484	12.3787	3717.1	-701.94	26.6832	6.70337	19.0522	6.69247	6.6856	6.69247	6.6856	19.9761	0	0	19.9681	19.984	19.9842	19.9846	19.9842	19.9846	19.9842
5	19.9992	4.18908	0	19.9748	7.55666	-0.974193	19.9913	19.9697	19.9874	19.9697	19.9697	19.9697	19.9697	19.9753	7.70774	-0.752026	19.991	19.9717	19.9858	19.9724	19.9719	19.9724	19.9719	13.801	2980.96	-939.936	28.3448	6.34575	22.9314	6.34575	6.34575	6.34575	6.34575	12.9184	3315.62	-729.992	27.5	7.101	19.9594	7.08821	7.08021	7.08821	7.08021	19.953	0	0	19.9425	19.9637	19.964	19.9644	19.9639	19.9644	19.9639
6	19.9992	5.0368	0	19.9714	6.84545	-1.26602	19.9923	19.9631	19.9858	19.9631	19.9631	19.9631	19.9631	19.9718	7.14771	-0.964801	19.9918	19.9656	19.9832	19.9663	19.9658	19.9663	19.9658	14.2366	2642.37	-971.359	29.0528	6.5879	23.7396	6.5879	6.5879	6.5879	6.5879	13.3574	3012.96	-746.302	28.1379	7.45357	20.6066	7.43928	7.43037	7.43928	7.43037	19.9255	0	0	19.9132	19.9379	19.9383	19.9386	19.9381	19.9386	19.9381
7	19.9991	5.4924	0	19.9698	6.03354	-1.46426	19.9933	19.9592	19.9853	19.9592	19.9592	19.9592	19.9592	19.9701	6.45789	-1.10171	19.9927	19.9621	19.982	19.9628	19.9623	19.9628	19.9623	14.5944	2376.46	-992.874	29.6171	6.81073	24.3492	6.81073	6.81073	6.81073	6.81073	13.7349	2771.81	-756.703	28.6529	7.77681	21.1172	7.76128	7.75162	7.76128	7.75162	19.8948	0	0	19.8815	19.9086	19.909	19.9093	19.9088	19.9093	19.9088
8	19.9993	5.6918	0	19.9691	5.28093	-1.5897	19.9941	19.9572	19.9853	19.9572	19.9572	19.9572	19.9572	19.9695	5.79058	-1.18245	19.9934	19.9604	19.9817	19.9611	19.9606	19.9611	19.9606	14.901	2162.3	-1008.12	30.0762	7.02041	24.8326	7.02041	7.02041	7.02041	7.02041	14.0709	2575.43	-763.25	29.076	8.08024	21.5384	8.06364	8.05331	8.06364	8.05331	19.8618	0	0	19.8477	19.8766	19.8771	19.8774	19.8769	19.8774	19.8769
9	20.0001	5.82145	0	19.9689	4.63296	-1.66634	19.9948	19.9562	19.9857	19.9562	19.9562	19.9562	19.9562	19.9695	5.19629	-1.22689	19.9941	19.9598	19.9818	19.9606	19.96	19.9606	19.96	15.1705	1987.25	-1019	30.4536	7.22086	25.2285	7.22086	7.22086	7.22086	7.22086	14.3761	2413.42	-767.032	29.4269	8.36969	21.8961	8.35214	8.34123	8.35214	8.34123	19.8266	0	0	19.8117	19.8424	19.843	19.8432	19.8427	19.8432	19.8427
10	19.9993	5.75364	0	19.969	4.09097	-1.71179	19.9954	19.9558	19.9861	19.9558	19.9558	19.9558	19.9558	19.9698	4.68472	-1.2487	19.9947	19.9597	19.9821	19.9606	19.96	19.9606	19.96	15.4112	1842.92	-1026.61	30.7654	7.41466	25.5591	7.41466	7.41466	7.41466	7.41466	14.6572	2278.65	-768.682	29.7194	8.64885	22.2053	8.63046	8.61904	8.63046	8.61904	19.7894	0	0	19.7737	19.8061	19.8067	19.8069	19.8063	19.8069	19.8063
11	19.9994	5.65999	0	19.9693	3.64364	-1.73735	19.9959	19.9558	19.9866	19.9558	19.9558	19.9558	19.9558	19.9702	4.25176	-1.25633	19.9951	19.96	19.9826	19.9609	19.9603	19.9609	19.9603	15.629	1723.48	-1031.6	31.024	7.60338	25.8378	7.60338	7.60338	7.60338	7.60338	14.9192	2166.05	-768.604	29.9645	8.91999	22.4757	8.90083	8.88893	8.90083	8.88893	19.7509	0	0	19.7348	19.7681	19.7687	19.7689	19.7684	19.7689	19.7684
12	19.9995	5.55968	0	19.9696	3.27705	-1.75004	19.9963	19.956	19.987	19.956	19.956	19.956	19.956	19.9707	3.88858	-1.25489	19.9956	19.9605	19.983	19.9614	19.9608	19.9614	19.9608	15.8284	1624.26	-1034.48	31.2391	7.78805	26.0749	7.78805	7.78805	7.78805	7.78805	15.1653	2071.42	-767.147	30.171	9.18454	22.7149	9.1647	9.15237	9.1647	9.15237	19.7121	0	0	19.6959	19.7293	19.73	19.7302	19.7296	19.7302	19.7296
13	19.9995	5.44926	0	19.97	2.97771	-1.75418	19.9966	19.9564	19.9874	19.9564	19.9564	19.9564	19.9564	19.9713	3.58507	-1.24751	19.9959	19.9611	19.9835	19.962	19.9614	19.962	19.9614	16.0125	1541.6	-1035.65	31.4185	7.96934	26.2781	7.96934	7.96934	7.96934	7.96934	15.3983	1991.51	-764.569	30.3459	9.44347	22.9285	9.42301	9.41029	9.42301	9.41029	19.6739	0	0	19.6581	19.6907	19.6915	19.6916	19.691	19.6916	19.691
14	19.9995	5.33406	0	19.9704	2.73361	-1.75253	19.9969	19.9567	19.9877	19.9567	19.9567	19.9567	19.9567	19.9719	3.33144	-1.23615	19.9962	19.9618	19.984	19.9627	19.962	19.9627	19.962	16.184	1472.53	-1035.42	31.5688	8.1477	26.4534	8.1477	8.1477	8.1477	8.1477	15.6204	1923.64	-761.095	30.4949	9.69743	23.1212	9.67641	9.66333	9.67641	9.66333	19.6375	0	0	19.6226	19.6534	19.6541	19.6543	19.6537	19.6543	19.6537
15	19.9995	5.21746	0	19.9707	2.53443	-1.74684	19.9971	19.9571	19.988	19.9571	19.9571	19.9571	19.9571	19.9724	3.11887	-1.22208	19.9964	19.9624	19.9844	19.9634	19.9627	19.9634	19.9627	16.345	1414.61	-1034.07	31.695	8.32343	26.6059	8.32343	8.32343	8.32343	8.32343	15.8333	1865.62	-756.905	30.6227	9.94688	23.2966	9.92535	9.91195	9.92535	9.91195	19.604	0	0	19.5902	19.6185	19.6192	19.6194	19.6188	19.6194	19.6188
16	19.9995	5.1013	0	19.9711	2.37159	-1.73829	19.9973	19.9576	19.9883	19.9576	19.9576	19.9576	19.9576	19.973	2.9398	-1.20615	19.9966	19.9631	19.9848	19.9641	19.9634	19.9641	19.9634	16.4972	1365.86	-1031.79	31.8014	8.49676	26.7396	8.49676	8.49676	8.49676	8.49676	16.0381	1815.69	-752.145	30.7331	10.1922	23.4578	10.1702	10.1565	10.1702	10.1565	19.5735	0	0	19.5608	19.5866	19.5873	19.5876	19.5869	19.5876	19.5869
17	19.9995	4.98656	0	19.9714	2.238	-1.72769	19.9974	19.958	19.9885	19.958	19.958	19.958	19.958	19.9735	2.78789	-1.18891	19.9967	19.9638	19.9852	19.9647	19.9641	19.9647	19.9641	16.642	1324.64	-1028.76	31.8916	8.66787	26.8578	8.66787	8.66787	8.66787	8.66787	16.2361	1772.4	-746.94	30.8292	10.4335	23.6071	10.4111	10.3971	10.4111	10.3971	19.5456	0	0	19.5339	19.5576	19.5583	19.5586	19.5579	19.5586	19.5579
18	19.9995	4.87377	0	19.9717	2.12789	-1.71558	19.9975	19.9584	19.9887	19.9584	19.9584	19.9584	19.9584	19.9741	2.65791	-1.17077	19.9969	19.9645	19.9855	19.9654	19.9647	19.9654	19.9647	16.7806	1289.63	-1025.14	31.9685	8.83688	26.9632	8.83688	8.83688	8.83688	8.83688	16.4281	1734.56	-741.386	30.9136	10.6712	23.7465	10.6484	10.6342	10.6484	10.6342	19.5196	0	0	19.5087	19.5308	19.5315	19.5318	19.5311	19.5318	19.5311
19	19.9995	4.76318	0	19.972	2.0366	-1.70237	19.9976	19.9588	19.9889	19.9588	19.9588	19.9588	19.9588	19.9746	2.54562	-1.15202	19.997	19.9651	19.9859	19.9661	19.9654	19.9661	19.9654	16.9139	1259.72	-1021.03	32.0344	9.00388	27.058	9.00388	9.00388	9.00388	9.00388	16.6149	1701.2	-735.566	30.9883	10.9052	23.8776	10.8821	10.8677	10.8821	10.8677	19.4948	0	0	19.4842	19.5055	19.5062	19.5066	19.5059	19.5066	19.5059
20	19.9995	4.6549	0	19.9724	1.96038	-1.68835	19.9977	19.9592	19.9891	19.9592	19.9592	19.9592	19.9592	19.9751	2.44757	-1.13286	19.9971	19.9658	19.9862	19.9668	19.9661	19.9668	19.9661	17.0425	1234.01	-1016.55	32.0912	9.16896	27.144	9.16896	9.16896	9.16896	9.16896	16.7969	1671.55	-729.545	31.055	11.1359	24.0017	11.1125	11.0979	11.1125	11.0979	19.47	0	0	19.4593	19.4808	19.4815	19.4819	19.4811	19.4819	19.4811
21	19.9996	4.54898	0	19.9727	1.89621	-1.67375	19.9978	19.9597	19.9892	19.9597	19.9597	19.9597	19.9597	19.9756	2.361	-1.11345	19.9972	19.9664	19.9865	19.9674	19.9667	19.9674	19.9667	17.1673	1211.76	-1011.75	32.1405	9.3322	27.2227	9.3322	9.3322	9.3322	9.3322	16.9748	1644.94	-723.377	31.1151	11.3633	24.12	11.3396	11.3248	11.3396	11.3248	19.4441	0	0	19.433	19.4555	19.4562	19.4566	19.4558	19.4566	19.4558
22	19.9996	4.44542	0	19.973	1.84168	-1.65873	19.9978	19.9601	19.9894	19.9601	19.9601	19.9601	19.9601	19.9761	2.28369	-1.0939	19.9973	19.9671	19.9868	19.9681	19.9674	19.9681	19.9674	17.2886	1192.36	-1006.72	32.1837	9.49363	27.2954	9.49363	9.49363	9.49363	9.49363	17.1489	1620.85	-717.106	31.1698	11.5874	24.2332	11.5635	11.5485	11.5635	11.5485	19.4169	0	0	19.4052	19.4289	19.4296	19.43	19.4292	19.43	19.4292
23	19.9996	4.34417	0	19.9733	1.79487	-1.64341	19.9979	19.9605	19.9895	19.9605	19.9605	19.9605	19.9605	19.9766	2.21386	-1.07431	19.9974	19.9677	19.9871	19.9688	19.968	19.9688	19.968	17.4069	1175.32	-1001.5	32.2218	9.65332	27.3629	9.65332	9.65332	9.65332	9.65332	17.3194	1598.86	-710.767	31.22	11.8084	24.3421	11.7843	11.7692	11.7843	11.7692	19.3881	0	0	19.3758	19.4008	19.4015	19.4019	19.4011	19.4019	19.4011
24	19.9996	4.24522	0	19.9735	1.75424	-1.62789	19.9979	19.9609	19.9897	19.9609	19.9609	19.9609	19.9609	19.977	2.1501	-1.05474	19.9975	19.9683	19.9874	19.9694	19.9686	19.9694	19.9686	17.5225	1160.22	-996.137	32.2557	9.8113	27.4263	9.8113	9.8113	9.8113	9.8113	17.4868	1578.6	-704.39	31.2663	12.0264	24.4473	12.0021	11.9869	12.0021	11.9869	19.3576	0	0	19.3447	19.3711	19.3718	19.3722	19.3715	19.3722	19.3715
25	19.9996	4.14851	0	19.9738	1.71856	-1.61225	19.998	19.9613	19.9898	19.9613	19.9613	19.9613	19.9613	19.9775	2.09129	-1.03524	19.9975	19.9689	19.9876	19.97	19.9692	19.97	19.9692	17.6358	1146.73	-990.671	32.2861	9.96762	27.4861	9.96762	9.96762	9.96762	9.96762	17.6512	1559.79	-697.998	31.3096	12.2414	24.5492	12.217	12.2016	12.217	12.2016	19.3254	0	0	19.3116	19.3396	19.3404	19.3408	19.34	19.3408	19.34
26	19.9996	4.054	0	19.9741	1.68686	-1.59656	19.998	19.9617	19.9899	19.9617	19.9617	19.9617	19.9617	19.978	2.03652	-1.01586	19.9976	19.9695	19.9879	19.9706	19.9698	19.9706	19.9698	17.747	1134.58	-985.128	32.3136	10.1223	27.5429	10.1223	10.1223	10.1223	10.1223	17.8128	1542.19	-691.609	31.3502	12.4535	24.6484	12.4289	12.4135	12.4289	12.4135	19.291	0	0	19.2765	19.3062	19.307	19.3073	19.3066	19.3073	19.3066
27	19.9996	3.96164	0	19.9744	1.65836	-1.58085	19.998	19.9621	19.99	19.9621	19.9621	19.9621	19.9621	19.9784	1.98507	-0.996626	19.9977	19.9701	19.9882	19.9712	19.9704	19.9712	19.9704	17.8562	1123.52	-979.534	32.3388	10.2754	27.5971	10.2754	10.2754	10.2754	10.2754	17.9718	1525.6	-685.239	31.3886	12.6627	24.7449	12.638	12.6225	12.638	12.6225	19.2545	0	0	19.2391	19.2707	19.2715	19.2718	19.2711	19.2718	19.2711
28	19.9996	3.87138	0	19.9746	1.63244	-1.56516	19.9981	19.9625	19.9901	19.9625	19.9625	19.9625	19.9625	19.9789	1.93637	-0.977561	19.9977	19.9707	19.9884	19.9718	19.971	19.9718	19.971	17.9637	1113.39	-973.907	32.3619	10.4269	27.6492	10.4269	10.4269	10.4269	10.4269	18.1283	1509.88	-678.9	31.4251	12.8691	24.8393	12.8443	12.8288	12.8443	12.8288	19.2161	0	0	19.1999	19.233	19.2339	19.2342	19.2334	19.2342	19.2334
29	19.9996	3.78318	0	19.9749	1.60861	-1.54952	19.9981	19.9629	19.9903	19.9629	19.9629	19.9629	19.9629	19.9793	1.88997	-0.958684	19.9978	19.9713	19.9887	19.9724	19.9716	19.9724	19.9716	18.0696	1104.02	-968.264	32.3834	10.5768	27.6994	10.5768	10.5768	10.5768	10.5768	18.2824	1494.88	-672.602	31.46	13.0728	24.9316	13.0479	13.0323	13.0479	13.0323	19.1761	0	0	19.1594	19.1938	19.1947	19.1949	19.1941	19.1949	19.1941
30	19.9996	3.69698	0	19.9751	1.58646	-1.53396	19.9981	19.9632	19.9904	19.9632	19.9632	19.9632	19.9632	19.9797	1.8455	-0.940007	19.9978	19.9719	19.9889	19.973	19.9722	19.973	19.9722	18.1739	1095.28	-962.619	32.4035	10.7252	27.7481	10.7252	10.7252	10.7252	10.7252	18.4343	1480.5	-666.353	31.4935	13.2737	25.0221	13.2488	13.2332	13.2488	13.2332	19.1349	0	0	19.1178	19.1531	19.154	19.1542	19.1534	19.1542	19.1534
31	19.9996	3.61275	0	19.9754	1.5657	-1.51848	19.9981	19.9636	19.9905	19.9636	19.9636	19.9636	19.9636	19.9801	1.80267	-0.921541	19.9979	19.9724	19.9891	19.9736	19.9728	19.9736	19.9728	18.2769	1087.08	-956.98	32.4225	10.8721	27.7953	10.8721	10.8721	10.8721	10.8721	18.5839	1466.66	-660.158	31.5259	13.4719	25.1109	13.447	13.4313	13.447	13.4313	19.0929	0	0	19.0755	19.1114	19.1124	19.1126	19.1118	19.1126	19.1118
32	19.9997	3.53044	0	19.9757	1.54606	-1.50311	19.9982	19.964	19.9906	19.964	19.964	19.964	19.964	19.9806	1.76124	-0.903293	19.9979	19.973	19.9894	19.9741	19.9733	19.9741	19.9733	18.3785	1079.33	-951.358	32.4404	11.0175	27.8414	11.0175	11.0175	11.0175	11.0175	18.7314	1453.28	-654.023	31.5573	13.6676	25.1981	13.6427	13.6269	13.6427	13.6269	19.0505	0	0	19.0329	19.0692	19.0701	19.0703	19.0695	19.0703	19.0695
33	19.9997	3.45001	0	19.9759	1.52736	-1.48785	19.9982	19.9644	19.9907	19.9644	19.9644	19.9644	19.9644	19.981	1.72104	-0.885268	19.998	19.9735	19.9896	19.9747	19.9739	19.9747	19.9739	18.4788	1071.96	-945.759	32.4576	11.1615	27.8864	11.1615	11.1615	11.1615	11.1615	18.8769	1440.3	-647.951	31.5877	13.8606	25.2839	13.8357	13.82	13.8357	13.82	19.0076	0	0	18.9899	19.0265	19.0275	19.0277	19.0268	19.0277	19.0268
34	19.9997	3.3714	0	19.9762	1.50943	-1.47272	19.9982	19.9647	19.9908	19.9647	19.9647	19.9647	19.9647	19.9814	1.68191	-0.867469	19.998	19.9741	19.9898	19.9752	19.9744	19.9752	19.9744	18.578	1064.91	-940.189	32.474	11.304	27.9304	11.304	11.304	11.304	11.304	19.0204	1427.67	-641.945	31.6173	14.0511	25.3682	14.0262	14.0105	14.0262	14.0105	18.9644	0	0	18.9467	18.9834	18.9844	18.9846	18.9838	18.9846	18.9838
35	19.9997	3.29459	0	19.9764	1.49214	-1.45771	19.9982	19.9651	19.9909	19.9651	19.9651	19.9651	19.9651	19.9818	1.64374	-0.849899	19.9981	19.9746	19.9901	19.9758	19.9749	19.9758	19.9749	18.676	1058.13	-934.653	32.4898	11.445	27.9736	11.445	11.445	11.445	11.445	19.1619	1415.37	-636.008	31.6463	14.2391	25.4513	14.2142	14.1984	14.2142	14.1984	18.9216	0	0	18.904	18.9404	18.9414	18.9415	18.9407	18.9415	18.9407
36	19.9997	3.21953	0	19.9766	1.47539	-1.44283	19.9982	19.9655	19.991	19.9655	19.9655	19.9655	19.9655	19.9822	1.60642	-0.832558	19.9981	19.9751	19.9903	19.9763	19.9755	19.9763	19.9755	18.7728	1051.59	-929.153	32.5052	11.5847	28.016	11.5847	11.5847	11.5847	11.5847	19.3014	1403.34	-630.14	31.6746	14.4246	25.5332	14.3997	14.384	14.3997	14.384	18.8797	0	0	18.8625	18.898	18.899	18.8991	18.8984	18.8991	18.8984
37	19.9997	3.14618	0	19.9769	1.45911	-1.42809	19.9983	19.9658	19.9911	19.9658	19.9658	19.9658	19.9658	19.9825	1.56988	-0.815447	19.9981	19.9756	19.9905	19.9768	19.976	19.9768	19.976	18.8686	1045.25	-923.694	32.52	11.7229	28.0577	11.7229	11.7229	11.7229	11.7229	19.4392	1391.57	-624.343	31.7023	14.6076	25.6139	14.5828	14.5671	14.5828	14.5671	18.8392	0	0	18.8227	18.8568	18.8578	18.858	18.8572	18.858	18.8572
38	19.9997	3.0745	0	19.9771	1.44323	-1.41348	19.9983	19.9662	19.9912	19.9662	19.9662	19.9662	19.9662	19.9829	1.53405	-0.798564	19.9982	19.9762	19.9907	19.9773	19.9765	19.9773	19.9765	18.9633	1039.09	-918.277	32.5345	11.8598	28.0988	11.8598	11.8598	11.8598	11.8598	19.575	1380.03	-618.618	31.7295	14.7882	25.6934	14.7635	14.7478	14.7635	14.7478	18.8011	0	0	18.7855	18.8175	18.8185	18.8187	18.8179	18.8187	18.8179
39	19.9997	3.00445	0	19.9774	1.4277	-1.39902	19.9983	19.9665	19.9912	19.9665	19.9665	19.9665	19.9665	19.9833	1.49889	-0.781909	19.9982	19.9767	19.9909	19.9778	19.977	19.9778	19.977	19.0571	1033.08	-912.903	32.5486	11.9952	28.1393	11.9952	11.9952	11.9952	11.9952	19.7091	1368.7	-612.964	31.7562	14.9665	25.7719	14.9418	14.9262	14.9418	14.9262	18.7657	0	0	18.7513	18.7809	18.7818	18.7821	18.7813	18.7821	18.7813
40	19.9997	2.936	0	19.9776	1.41247	-1.38469	19.9983	19.9669	19.9913	19.9669	19.9669	19.9669	19.9669	19.9837	1.46435	-0.76548	19.9983	19.9772	19.9911	19.9783	19.9775	19.9783	19.9775	19.1498	1027.2	-907.575	32.5625	12.1294	28.1792	12.1294	12.1294	12.1294	12.1294	19.8414	1357.57	-607.383	31.7825	15.1424	25.8493	15.1178	15.1022	15.1178	15.1022	18.7334	0	0	18.7201	18.7472	18.7481	18.7484	18.7476	18.7484	18.7476
41	19.9997	2.8691	0	19.9778	1.39752	-1.37051	19.9983	19.9672	19.9914	19.9672	19.9672	19.9672	19.9672	19.984	1.43039	-0.749275	19.9983	19.9776	19.9914	19.9788	19.978	19.9788	19.978	19.2415	1021.45	-902.294	32.576	12.2621	28.2187	12.2621	12.2621	12.2621	12.2621	19.972	1346.63	-601.874	31.8083	15.316	25.9256	15.2915	15.2759	15.2915	15.2759	18.7037	0	0	18.6915	18.7163	18.7172	18.7175	18.7167	18.7175	18.7167
42	19.9997	2.80374	0	19.9781	1.38281	-1.35646	19.9983	19.9675	19.9915	19.9675	19.9675	19.9675	19.9675	19.9844	1.39699	-0.733292	19.9983	19.9781	19.9916	19.9793	19.9785	19.9793	19.9785	19.3323	1015.81	-897.059	32.5893	12.3936	28.2576	12.3936	12.3936	12.3936	12.3936	20.1008	1335.86	-596.437	31.8337	15.4873	26.0009	15.4629	15.4473	15.4629	15.4473	18.6763	0	0	18.6649	18.6879	18.6888	18.6892	18.6883	18.6892	18.6883
43	19.9997	2.73986	0	19.9783	1.36833	-1.34255	19.9984	19.9679	19.9916	19.9679	19.9679	19.9679	19.9679	19.9847	1.36412	-0.71753	19.9984	19.9786	19.9917	19.9798	19.979	19.9798	19.979	19.4221	1010.26	-891.873	32.6024	12.5237	28.296	12.5237	12.5237	12.5237	12.5237	20.228	1325.26	-591.071	31.8588	15.6563	26.0753	15.632	15.6165	15.632	15.6165	18.6504	0	0	18.6396	18.6615	18.6623	18.6627	18.6619	18.6627	18.6619
44	19.9997	2.67743	0	19.9785	1.35406	-1.32879	19.9984	19.9682	19.9917	19.9682	19.9682	19.9682	19.9682	19.9851	1.33177	-0.701985	19.9984	19.9791	19.9919	19.9803	19.9794	19.9803	19.9794	19.511	1004.8	-886.734	32.6153	12.6525	28.334	12.6525	12.6525	12.6525	12.6525	20.3535	1314.81	-585.776	31.8835	15.8232	26.1486	15.7989	15.7835	15.7989	15.7835	18.6251	0	0	18.6144	18.636	18.6369	18.6373	18.6364	18.6373	18.6364
45	19.9997	2.61643	0	19.9787	1.33998	-1.31516	19.9984	19.9685	19.9918	19.9685	19.9685	19.9685	19.9685	19.9855	1.29991	-0.686655	19.9985	19.9795	19.9921	19.9808	19.9799	19.9808	19.9799	19.599	999.431	-881.644	32.628	12.7801	28.3715	12.7801	12.7801	12.7801	12.7801	20.4774	1304.52	-580.551	31.9078	15.9878	26.2211	15.9637	15.9483	15.9637	15.9483	18.5994	0	0	18.5885	18.6105	18.6114	18.6118	18.6109	18.6118	18.6109
46	19.9997	2.55682	0	19.9789	1.32608	-1.30167	19.9984	19.9688	19.9918	19.9688	19.9688	19.9688	19.9688	19.9858	1.26853	-0.671538	19.9985	19.98	19.9923	19.9812	19.9804	19.9812	19.9804	19.6861	994.135	-876.602	32.6405	12.9063	28.4087	12.9063	12.9063	12.9063	12.9063	20.5996	1294.37	-575.396	31.9318	16.1502	26.2926	16.1262	16.1109	16.1262	16.1109	18.5728	0	0	18.5616	18.5844	18.5852	18.5856	18.5847	18.5856	18.5847
47	19.9998	2.49857	0	19.9792	1.31235	-1.28831	19.9984	19.9692	19.9919	19.9692	19.9692	19.9692	19.9692	19.9861	1.23761	-0.65663	19.9985	19.9804	19.9925	19.9817	19.9808	19.9817	19.9808	19.7723	988.91	-871.608	32.6529	13.0313	28.4454	13.0313	13.0313	13.0313	13.0313	20.7203	1284.36	-570.31	31.9554	16.3106	26.3632	16.2867	16.2714	16.2867	16.2714	18.5456	0	0	18.5341	18.5574	18.5583	18.5587	18.5578	18.5587	18.5578
48	19.9998	2.44164	0	19.9794	1.29879	-1.27509	19.9984	19.9695	19.992	19.9695	19.9695	19.9695	19.9695	19.9865	1.20715	-0.64193	19.9986	19.9809	19.9927	19.9821	19.9812	19.9821	19.9812	19.8577	983.754	-866.662	32.6651	13.1551	28.4817	13.1551	13.1551	13.1551	13.1551	20.8394	1274.49	-565.293	31.9788	16.4688	26.4329	16.445	16.4298	16.445	16.4298	18.5181	0	0	18.5065	18.53	18.5308	18.5312	18.5304	18.5312	18.5304
49	19.9998	2.38601	0	19.9796	1.28538	-1.26201	19.9985	19.9698	19.9921	19.9698	19.9698	19.9698	19.9698	19.9868	1.17713	-0.627435	19.9986	19.9813	19.9929	19.9825	19.9817	19.9825	19.9817	19.9422	978.662	-861.764	32.6771	13.2776	28.5176	13.2776	13.2776	13.2776	13.2776	20.9569	1264.75	-560.343	32.0018	16.6249	26.5017	16.6013	16.5861	16.6013	16.5861	18.4904	0	0	18.4788	18.5024	18.5032	18.5036	18.5028	18.5036	18.5028
